Le Douaron Jérémy
Ben Yedder Wissam
Laborde Gaëtan
Donis Anastasios
Geubbels Willem
Germain Valère
Dango Ouattara Dango
Gameiro Kevin
Nyamsi Gerzino
Bronn Dylan
Hakimi Achraf
Thomas Romain
Palmer-Brown Erik
Kaboré Issa
Seidu Alidu
Ramos Sergio
Renato Sanches
De la Fuente Konrad
Sissoko Sambou
Di María Ángel
Sulemana Kamaldeen
Belkebla Haris
Domingues Brandon
Doucouré Cheick Oumar
Manvelyan Gor
Sommer Noé
M'Bock Hianga'a
Barès Gabriel
Gomis Alfred
Poussin Gaëtan
Costil Benoît
Nazaretian Manuel
