Milik Arkadiusz
Kolo Muani Randal
Dolberg Kasper
de Préville Nicolas
Koné Ibrahima
Sidibé Abdoulaye
Traoré Amadou
Traoré Hamari
Le Goff Vincent
Henrique
Djiku Alexander
Zedadka Akim
Doumbia Souleyman
Danso Kevin
Mensah Gideon
Larouci Yasser
Gnagnon Joris
Dramé Ismael
Gelin Jérémy
Ünder Cengiz
Abergel Laurent
Lienard Dimitri
Akliouche Maghnes
Ndombele Tanguy
Ugochukwu Lesley
Bertelli Ugo
Xeka
Pajot Vincent
Taibi Waniss
Busquets Oriol
Camara Mamadou
Gallon Gauthier
Rajkovic Predrag
Coudert Grégoire
Benítez Walter
Matis Carvalho Matis
Gelson Martins
Kamara Boubacar
Gabriel Silva
Manvelyan Gor
Bitshiabu El Chadaille
Dioussé Assane
