,Côte,Enchère_moy,Note,Variation,But,Temps,Jour,Note_Jour,Journée_Next,Buteur,Entrée_Remplaçant,But_Match,Match_Noté,Titulaire_Match,Statut,Status_Match_Code,Derniers_Status_Match_avant_J,Derniers_Match_Buteur_avant_J,Derniers_But_Match_avant_J,Derniers_Status_Match_après_J,Derniers_Match_Buteur_après_J,Derniers_But_Match_après_J,%Buteur_Derniers_Match,%Titulaire_Derniers_Match,%Noté_Derniers_Match,%Buteur_Derniers_Match_après,%Titulaire_Derniers_Match_après,%Noté_Derniers_Match_après,But/Match_Derniers_Match,But/Match_Derniers_Match_après,Note_Moy_Derniers_Match,Note_Moy_Derniers_Match_Dom,Note_Moy_Derniers_Match_Ext,Note_Moy_,Note_Moy_Derniers_Match_A,Note_Moy_Derniers_Match_Dom_A,Note_Moy_Derniers_Match_Ext_A,Moy_But_Av_J,Nb_But_Av_J,Moy_But_Ap_J,Nb_But_Ap_J,Rolling_Note_J,Rolling_Note_J_Ap,Rolling_Note_J_Derniers_Match,Rolling_Note_J_Derniers_Match_Ap,Ratio_G_derniers matchs,Ratio_N_derniers matchs,Ratio_P_derniers matchs,Note_Jour_Next_Classes
0,15,15.0,4.94,0.85,2,2894,6,5.0,7,0,0,0,1,1,1,2,22222.0,0.0,0.0,22222,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.9,4.25,5.333333333333333,5.0,4.8,4.5,5.333333333333333,0.0,0.0,0.0,0,4.9,4.92,4.9,4.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
1,8,8.0,5.25,0.58,0,877,6,0.0,7,0,0,0,0,0,1,0,22222.0,0.0,0.0,2222,0,0,0.0,1.0,1.0,0.0,0.8,0.8,0.0,0.0,5.4,5.75,5.166666666666667,0.0,4.2,3.8333333333333335,5.166666666666667,0.0,0.0,0.0,0,5.4,4.5,5.4,4.2,1.0,0.0,0.0,0
2,11,12.0,4.41,1.55,0,1177,6,0.0,7,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
3,14,14.0,5.11,1.01,1,2467,6,5.5,7,0,0,0,1,1,1,2,20122.0,0.0,0.0,22012,0,0,0.0,0.6,0.6,0.0,0.6,0.6,0.0,0.0,4.0,2.75,4.833333333333333,5.5,3.9,3.6666666666666665,4.833333333333333,0.0,0.0,0.0,0,4.0,4.25,4.0,3.9,0.0,0.6666666666666666,0.3333333333333333,1
4,14,14.0,5.39,0.97,0,2873,6,6.5,7,0,0,0,1,1,0,2,22222.0,0.0,0.0,22222,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,6.2,6.0,6.333333333333333,6.5,6.3,6.0,6.375,0.0,0.0,0.0,0,6.2,6.25,6.2,6.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
5,1,1.0,5.0,0.0,0,9,6,0.0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
6,6,6.0,4.36,1.97,0,228,6,0.0,7,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7,13,15.0,5.15,0.98,1,2260,6,6.5,7,0,0,0,1,1,0,2,11112.0,0.0,0.0,21111,0,0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,4.8,4.666666666666667,5.0,6.5,5.4,4.666666666666667,5.5,0.0,0.0,0.0,0,4.8,5.08,4.8,5.4,0.0,0.3333333333333333,0.6666666666666666,2
8,13,15.0,5.29,1.11,0,1782,6,5.0,7,0,0,0,1,1,0,2,20000.0,0.0,0.0,22000,0,0,0.0,0.2,0.2,0.0,0.4,0.4,0.0,0.0,1.2,2.0,0.0,5.0,2.2,2.0,1.6666666666666667,0.0,0.0,0.0,0,1.2,1.83,1.2,2.2,0.0,0.3333333333333333,0.6666666666666666,1
9,22,26.0,5.39,0.92,2,2738,6,4.0,7,0,0,0,1,1,0,2,22222.0,0.0,0.0,22222,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.8,4.666666666666667,5.0,4.0,4.7,4.666666666666667,4.666666666666667,0.0,0.0,0.0,0,4.8,4.67,4.8,4.7,0.3333333333333333,0.0,0.6666666666666666,2
