Joueur,Classe 0,Classe 1,Classe 2,Classe 3
Aguerd Nayef,0.1786334311033694,0.16811510524441262,0.5120550356309254,0.14119642802129262
Badé Loïc,0.7550317025993771,0.0776779045863622,0.14777189899163604,0.019518493822624473
Benítez Walter,0.1169186317540459,0.11167561069324868,0.4705902612280425,0.3008154963246629
Bernardoni Paul,0.15434930416978437,0.24162250855624706,0.4751614872596177,0.12886670001435077
Caci Anthony,0.19418387523946154,0.202682602216004,0.5158920635905524,0.08724145895398226
Cardona Irvin,0.22697306614542118,0.45205376703338973,0.2942529738438847,0.026720192977304734
Castelletto Jean-Charles,0.19310640726387543,0.23345926104591155,0.5038486128320312,0.06958571885818178
Daniliuc Flavius,0.20843865071932996,0.21979202311683402,0.5128670726237854,0.05890225354005074
Danilo Pereira,0.1784300535809041,0.13949671090846433,0.5337717806140079,0.14830145489662394
David Jonathan,0.2137174450033766,0.5125965291347224,0.20977787154272598,0.0639081543191749
Diomandé Sinaly,0.7597707661011661,0.0811404094615763,0.1485307509305589,0.01055807350669854
Dossou Jodel,0.21278598488765638,0.32996885013302435,0.4255729741789256,0.031672190800393726
Elis Alberth,0.7561087085918938,0.11470025786022829,0.11288961990548646,0.016301413642391585
Fàbregas Cesc,0.7655641803562023,0.08288543310107947,0.14897553435631244,0.002574852186405931
Gerson,0.1526342035375713,0.22083586847784922,0.4734004571071826,0.153129470877397
Hakimi Achraf,0.18645055326007623,0.24561124542745488,0.47768085485974654,0.09025734645272272
Hountondji Cédric,0.7558182469395636,0.110128199592011,0.12213812495096331,0.011915428517462006
Jenz Moritz,0.23719701522466544,0.5114335618643121,0.2343653953294428,0.017004027581579675
Kimpembe Presnel,0.20456534032738816,0.2088206896823487,0.5255250494026834,0.06108892058757944
Lienard Dimitri,0.7339312423930806,0.0833276026818082,0.14754731638037671,0.03519383854473465
Mavididi Stephy,0.6642464161492171,0.10085167478952993,0.1396201040129637,0.09528180504828915
Mbengue Amadou Salif,0.22531582808542322,0.42466136438944296,0.33175298313424184,0.018269824390892014
Neymar,0.196319365443942,0.2492441839794665,0.41217103046009096,0.14226542011650034
Nübel Alexander,0.1421318286845171,0.15928753024107845,0.5805262755657519,0.11805436550865295
Omari Warmed,0.17463830318198498,0.2098774749661854,0.5164081428527723,0.0990760789990571
Rajkovic Predrag,0.14448080163078694,0.1188986962502213,0.5676446947738297,0.16897580734516188
Rongier Valentin,0.17957805067473215,0.22226451731262495,0.5251735929466623,0.07298383906598092
Sacko Falaye,0.20617325021445762,0.19036816277767865,0.5271088734561326,0.07634971355173124
