Yansané Sekou
Guirassy Serhou
Saïd Wesley
Boadu Myron
Rivera Maxence
Bukari Osman
Del Castillo Romain
Yilmaz Burak
Luis Henrique
Fila Karol
Faes Wout
Kada Joakim
Busi Maxime
Boateng Jérôme
Meling Birger
Cozza Nicolas
Baysse Paul
Mikelbrencis William
Wijnaldum Georginio
Yade Papa Ndiaga
Honorat Franck
Kakuta Gaël
Maïga Habib
Chavalerin Xavier
Mouazan Baptiste
Abergel Laurent
Schneiderlin Morgan
Ünder Cengiz
Lemoine Fabien
Cabot Jimmy
Benítez Walter
Desmas Arthur
Gomis Alfred
Petkovic Danijel
